LEGACY_FISHING_GROUND_CODE,FISHING_GROUND_CODE
3120060,7120060
4220100,8220100
1100030,9100030
1100060,9100060
2100040,A100040
2100060,A100060
2100080,A100080
2110040,A110040
2110060,A110060
2110080,A110080
2120040,A120040
2200040,A200040
2200060,A200060
2200080,A200080
2200100,A200100
2210020,A210020
2210040,A210040
2210060,A210060
2210080,A210080
2210100,A210100
2210120,A210120
2220020,A220020
2220040,A220040
2220060,A220060
2220080,A220080
2220100,A220100
2230020,A230020
2230040,A230040
2230060,A230060
2230080,A230080
2230100,A230100
2230120,A230120
2230140,A230140
2240020,A240020
2240040,A240040
2240140,A240140
9000080,IO_EAST
9100080,IO_NORTHEAST
9100020,IO_NORTHWEST
9200080,IO_SOUTHEAST
9200020,IO_SOUTHWEST
9000020,IO_WEST
3200050,NJA_SYC
2240060,A240060
2240080,A240080
2240100,A240100
2240120,A240120


